"filename", "language", "PostCSS", "JavaScript", "comment", "blank", "total"
"e:\Praktikum\API Anwendung\css\checkmark.css", "PostCSS", 5, 0, 0, 0, 5
"e:\Praktikum\API Anwendung\css\dropdown.css", "PostCSS", 34, 0, 7, 8, 49
"e:\Praktikum\API Anwendung\css\main.css", "PostCSS", 77, 0, 1, 6, 84
"e:\Praktikum\API Anwendung\css\slider.css", "PostCSS", 14, 0, 0, 0, 14
"e:\Praktikum\API Anwendung\css\typos.css", "PostCSS", 50, 0, 1, 10, 61
"e:\Praktikum\API Anwendung\jss\DomConstructor.js", "JavaScript", 0, -134, -93, -35, -262
"e:\Praktikum\API Anwendung\jss\backgroundELement.js", "JavaScript", 0, -69, -21, -10, -100
"e:\Praktikum\API Anwendung\jss\classes.js", "JavaScript", 0, -129, -9, -10, -148
"e:\Praktikum\API Anwendung\jss\filters.js", "JavaScript", 0, -47, -1, -10, -58
"e:\Praktikum\API Anwendung\jss\init.js", "JavaScript", 0, -153, -38, -21, -212
"e:\Praktikum\API Anwendung\jss\main.js", "JavaScript", 0, -205, -50, -38, -293
"e:\Praktikum\API Anwendung\jss\utils.js", "JavaScript", 0, -26, -4, -4, -34
"Total", "-", 180, -763, -207, -104, -894
